Слово,Употребление,Значение,Пример_1,Пример_2,Пример_3,Перевод,Синоним_1,Синоним_2,Синоним_3,Синоним_4
БЛЕФ,перен.,"Ложь, выдумка, рассчитанные на запугивание или введение кого-л. в заблуждение; хвастовство несуществующими преимуществами; «пускание пыли в глаза».","Его рассказ о том, как он выиграл миллион на ставках, оказался всего лишь блефом, чтобы произвести впечатление на друзей.","В переговорах с конкурентами он использовал блеф, надеясь запугать их и заставить принять невыгодные условия","Она поняла, что его уверения о высоких доходах были лишь блефом, призванным скрыть финансовые трудности.",(англ. bluff обман).,Обман,Хитрость,,
БЛОГ,част. интерн.,"Вебсайт, основное содержимое которого - регулярно добавляемые записи, изображения или мультимедиа.",Для блогов характерны недлинные записи временной значимости.,Совокупность всех блогов Сети принято называть блогосферой.,"Она ведет популярный блог о путешествиях, где делится своими впечатлениями и фотографиями из разных уголков мира.",(англ. blog - web log «сетевой журнал или дневник событий»).,,,,
БЛОГЕР,част. интерн.,"Создатель блога, сетевого дневника. Человек, ведущий блог.","Блогер делится своими мыслями о жизни в большом городе, вдохновляя своих читателей на новые приключения.",Молодой блогер быстро завоевал популярность благодаря своим увлекательным видео о путешествиях и кулинарии.,"Каждый день блогер публикует новые посты, в которых рассказывает о своих любимых книгах и фильмах.",(англ. blogger).,,,,
БЛОКБАСТЕР,част. общ.,"Популярные и высокодоходные произведения в литературе, и вообще в поп-культуре.","Новый роман известного автора стал настоящим блокбастером, завоевав сердца читателей по всему миру.","Фильм, основанный на бестселлере, быстро превратился в культурный блокбастер, собрав кассу в миллионы долларов.","В этом сезоне на книжных полках появилось множество новых блокбастеров, которые обещают стать настоящими хитами среди молодежи.",(англ. block-buster авиационная бомба).,,,,
БОТ,редк. комп. сленг.,"Программа, эмулирующая действия (речь) человека, иногда с зачатками искусственного интеллекта (от слова робот), предназначенная для автоматизации исполнения рутинных действий.",В последнее время многие компании начали использовать чат-ботов для автоматизации обслуживания клиентов и повышения эффективности работы.,"Новый бот, разработанный для обработки заказов, способен отвечать на вопросы пользователей и быстро решать их проблемы.","Благодаря интеграции с мессенджерами, бот стал популярным инструментом для проведения опросов и сбора обратной связи от клиентов.",(англ. bot от robot).,,,,
БРО,редк. мол. сленг.,"Брат, братан.","Я всегда могу рассчитывать на своего бро, он поддержит в любой ситуации.","Мы с моим бро провели весь уикенд, играя в видеоигры и обсуждая планы на будущее.","Когда мне было тяжело, мой бро пришел ко мне на помощь и поднял настроение.",(англ. bro сокр. от brother).,Брат,Братан,,
БУЛЛИНГ,част. соц.,"Агрессивное поведение, выражающееся в злонамеренном преследовании, жестокости, попытках оскорбления и унижения человека, подрыве его репутации и т.п.","Буллинг в школе стал серьезной проблемой, требующей внимания со стороны учителей и родителей.","Жертвы буллинга часто испытывают психологические травмы, которые могут повлиять на их самооценку и общее благополучие.","Важно создавать безопасную среду, в которой буллинг не будет оставаться безнаказанной, а жертвы смогут обратиться за помощью.",(англ. bulling – to bull задираться).,Травля,Издевательство,,
ВАЙБ,редк. общ.,"Неописуемое чувство того, что делает атмосферу особенной. Оно может быть хорошим или плохим, сумасшедшим или расслабленным. Он задает тональность в любой жизненной ситуации, особенно на вечеринках.","На этой вечеринке был такой позитивный вайб, что все сразу почувствовали себя как дома и начали веселиться.","Несмотря на дождливую погоду, в кафе царил расслабляющий вайб, который помог нам забыть о повседневных заботах.","Когда мы пришли на концерт, нас поразил сумасшедший вайб толпы, который наполнял зал энергией и радостью.","(англ. vibe энергетика атмосфера, вибрация настроение).",Атмосфера,Настроение,,
ВЕГАН,част. пищ.,"Строгий вегетарианец, обычно приверженец стрэйт эйджа, который отказывается от животной пищи по нравственной причине — нежеланию принимать опосредованное участие в гипотетическом убийстве животных.","Веган всегда тщательно выбирает продукты, чтобы убедиться, что они не содержат ни одного ингредиента животного происхождения, поддерживая свои нравственные убеждения.","На встрече единомышленников веганы делились рецептами, которые не только были вкусными, но и соответствовали их философии о защите прав животных.","Веганская диета для него стала не просто выбором пищи, а образом жизни, отражающим его стремление к более гуманному и экологически чистому существованию.
 Веганская диета для него стала не просто выбором пищи, а образом жизни, отражающим его стремление к более гуманному и экологически чистому существованию.",(англ. vegan).,,,,
ВЕЙПЕР,быт.,"Человек, «курящий» электронные сигареты.","Вейпер наслаждался ароматом клубники, выдыхая облака пара на летней веранде.","На вечеринке собрались не только любители традиционных сигарет, но и несколько вейперов, которые обсуждали новые вкусы и устройства.","Вейперы часто делятся своими впечатлениями о различных жидкостях, пытаясь найти идеальный баланс между вкусом и паром.",(англ. vaper – to vape курить электронную сигарету).,,,,
ГАДЖЕТ,част. тех.,"Портативная техническая новинка с цифровыми технологиями - карманный компьютер, сотовый телефон с добавочными функциями, авторучки с набором электронных услуг (шариковая ручка как телефон, фотокамера и т. п.), ноутбуки, часы, браслеты, электронные книги, универсальные плейеры для презентаций и т.п.","В последнее время на рынке появилось множество гаджетов, которые позволяют управлять умным домом с помощью всего лишь одного приложения на смартфоне.","Новый фитнес-гаджет отслеживает не только физическую активность, но и качество сна, предоставляя пользователю подробные отчеты о здоровье.","На выставке технологий были представлены уникальные гаджеты, такие как умные часы с функцией мониторинга сердечного ритма и встроенным GPS.",(англ. gadget приспособление).,Устройство,Прибор,Приспособление,
ГЕЙМЕР,част. разг.,"Человек, увлекающийся компьютерными играми.","Геймеры со всего мира собираются на онлайн-турниры, чтобы проверить свои навыки в популярных играх.","Мой брат — заядлый геймер, который проводит вечера, исследуя виртуальные миры и выполняя сложные квесты.","В последние годы геймеры стали настоящими звездами, получая признание и призы на международных чемпионатах по киберспорту.",(англ. gamer – to game играть в игры).,,,,
ГЕНЕРИРОВАТЬ,комп. сленг.,Создавать что-либо на компьютере.,Новая солнечная станция сможет генерировать достаточно энергии для обеспечения целого района.,"Учёные работают над тем, чтобы генерировать чистый водород из возобновляемых источников.",Эта программа позволяет пользователям генерировать уникальные пароли для повышения безопасности их аккаунтов.,"(англ. generate – to generate производить, рождать).",Создавать,,,
ГИГАБАЙТ,част. комп.,"Единица измерения памяти, состоящая из 1024 мегабайтов.",Для хранения большого объема данных на компьютере рекомендуется использовать жесткий диск объемом не менее 500 гигабайт.,"Современные смартфоны часто оснащаются оперативной памятью в 8 гигабайт, что позволяет им эффективно справляться с многозадачностью.","Мой новый ноутбук имеет 1 терабайт памяти, что эквивалентно 1024 гигабайтам, что достаточно для всех моих нужд.",(англ. gigabyte).,,,,
ГИРОСКУТЕР,част. трансп.,"Управляемое с помощью наклонов собственного тела, и заряжающееся от обычной розетки устройство для передвижения. Самоходная одноместная колесница китайского производства на электрической тяге.","Я купил гироскутер, чтобы удобно передвигаться по городу, просто наклоняясь в нужную сторону.","На выходных мы катались на гироскутерах в парке, наслаждаясь свежим воздухом и свободой передвижения.","Гироскутер стал настоящим хитом среди молодежи, так как его легко заряжать от обычной розетки и управлять с помощью собственного тела.","(англ. gyroscooter – gyro относящийся к вращению вокруг неподвижной оси + scooter самокат, мотороллер).",,,,
ГИФКА,ком.,"Картинка в формате gif(Графический файл с расширением, позволяющий хранить изображения, имеющие до 256 цветов, поддерживает прозрачность, анимацию, черезстрочную развертку и хранение в одном файле нескольких изображений.)","Я отправил другу забавную гифку с котом, который ловит лазерную указку, и она мгновенно подняла ему настроение.","На вечеринке мы обсуждали, какие гифки лучше всего подходят для выражения эмоций в чате.",В социальных сетях гифки стали популярным способом делиться смешными моментами и реакциями без необходимости писать длинные тексты.,(англ. gif сокр. от Graphic Interchange Format формат обмена графическими данными).,,,,
ДЕВЕЛОПЕР,част. биз.,"Застройщик, человек, связанный со строительством жилья и других объектов.","Девелопер представил новый проект жилого комплекса, который обещает стать настоящей жемчужиной района.","Команда девелоперов активно работает над благоустройством территории вокруг строящегося здания, чтобы создать комфортное пространство для жителей.","На встрече с инвесторами девелопер рассказал о планах по расширению жилой застройки в пригороде.
 На встрече с инвесторами девелопер рассказал о планах по расширению жилой застройки в пригороде.",(англ. developer – to develop развивать).,Застройщик,,,
ДЕДЛАЙН,част. общ.,"Предельный срок окончания какой-л. работы, завершения проекта и т. п.","Мы должны закончить проект до установленного дедлайна, чтобы избежать штрафов от клиента.","Важно правильно распределить время, чтобы успеть выполнить все задачи до дедлайна.","Команда работала усердно, чтобы уложиться в дедлайн и представить результаты на конференции.",(англ. deadline - dead мертвый + line линия).,Срок,Крайний срок,,
ДРЕСС-КОД,част. общ.,Рекомендуемый стиль одежды на предприятиях и в учреждениях.,"Нам необходимо ускорить работу над проектом, чтобы успеть к дедлайну, который установлен на конец месяца.","Я всегда стараюсь планировать свои задачи заранее, чтобы не откладывать их на последний день перед дедлайном.","Несмотря на давление дедлайна, команда смогла завершить проект вовремя и с высоким качеством.",(англ. dress code – dress одежда + code код).,,,,
ЕРРОР,комп. сленг.,"Ошибка вычислений, поиска и т. п.","При анализе данных мы столкнулись с серьезным ЕРРОРом, который привел к искажению результатов исследования.","Программа выдала ЕРРОР во время выполнения, указывая на неправильный ввод данных пользователем.",Из-за системного ЕРРОРа в расчетах финансового отчета нам пришлось пересмотреть все цифры и заново провести аудит.,(англ. error ошибка).,Ошибка,,,
ИГНОР,част. мол. сленг.,Полное отсутствие внимания к объекту разговора или обсуждения.,Его игнор к важным вопросам на встрече вызвал недовольство среди коллег.,"Мы не можем позволить себе игнор проблем, которые требуют немедленного решения.",Игнор со стороны руководства к предложениям сотрудников подрывает моральный дух команды.,(англ. ignore – to ignore игнорировать).,Равнодушие,Безразличие,,
ИЗИ,редк. нескл. комп. сленг.,"В компьютерных играх – лёгкая победа. Слово, используемое в конце игры с долей насмешки и иронии, когда игра прошла ""в одни ворота"".","Этот математический пример оказался таким изи, что я решил сделать его за минуту.","Мы с друзьями играли в настольную игру, и она была настолько изи, что мы закончили её за полчаса.","Он всегда говорит, что изучение языков — это изи, если подходить к этому с интересом.",(англ. easy лёгкий; не требующий усилий).,Лёгкий,Простой,,
ИМБА,редк. комп. сленг.,"Явление дисбаланса сил в компьютерной игре. Обозначение чего-либо сверхсильного, нарушающего игровой баланс.","В нашей команде есть игрок, который просто имба — он всегда ведет нас к победе.","Этот новый герой в игре стал настоящей имбой, его способности слишком сильны для противников.","Когда я купил этот предмет, я понял, что он просто имба — с ним все стало намного проще.",(англ. imba сокр. от imbalanced несбалансированный).,,,,
ИМИДЖ,част. общ.,"Целенаправленно формируемый образ лица, явления или предмета, признанный оказать эмоционально-психологическое воздействие на кого-либо в целях популяризации, рекламы.","Для успешного продвижения продукта компания разработала уникальный имидж, который подчеркивает его преимущества и привлекательность для потребителей.","Политик тщательно работает над своим имиджем, чтобы создать образ надежного и компетентного лидера в глазах избирателей.","В современном мире социальных сетей имидж бренда становится ключевым фактором, влияющим на его популярность и доверие со стороны клиентов.","(англ. image – лат. imago образ, вид).",Образ,Вид,,
ИНИЦИАЛИЗАЦИЯ,част. комп.,"Создание, активация, подготовка к работе, определение параметров. Приведение программы или устройства в состояние готовности к использованию.","Перед началом работы с новым программным обеспечением необходима инициализация, которая включает настройку всех параметров системы.","Инициализация устройства занимает несколько минут, в течение которых происходит проверка всех компонентов и их подготовка к эксплуатации.","Для успешной работы алгоритма требуется правильная инициализация всех переменных, чтобы избежать ошибок на этапе выполнения программы.",(англ. initialization – to initialize устанавливать в нулевое положение).,,,,
ИНСТАЛЛЯЦИЯ,част. инф.,Загрузка новой программы в компьютер; осуществляется копированием файлов и каталогов этой программы на жесткий диск в определенной последовательности.,"Процесс инсталляции новой антивирусной программы занял всего несколько минут, и теперь компьютер защищен от угроз.","Перед началом инсталляции необходимо убедиться, что на жестком диске достаточно свободного места для всех файлов программы.","Инсталляция обновлений системы прошла успешно, и теперь компьютер работает быстрее и стабильнее.","(англ., фр. installation – to install устанавливать).",Установка,Скачивание,,
ЙЭС!,мол. сленг.,"Возглас крайнего удовлетворения от чего-л. сделанного, часто подкрепляется характерным жестом.","Когда он наконец закончил свою работу над проектом, все в комнате разом закричали: ""ЙЭС!"" и подняли руки в воздух.","После того как команда забила решающий гол, стадион взорвался криками ""ЙЭС!"", и болельщики начали обниматься.","Она с радостью воскликнула ""ЙЭС!"" после того, как получила долгожданное известие о повышении.",(англ. Yes!).,Да!,,,
КАВЕР,муз.,"Исполнение иностранной популярной песни на русском языке, т. е. произведение, в котором русские слова накладываются на зарубежную мелодию.","Группа решила сделать кавер на известный хит, добавив к нему русский текст, чтобы привлечь больше слушателей.","На концерте прозвучал кавер на популярную зарубежную песню, который зрители встретили бурными аплодисментами.","Она всегда мечтала записать кавер на любимую иностранную композицию, адаптировав слова так, чтобы они звучали по-русски.",(англ. cоver – to cover покрывать).,,,,
КАМОН,разг.,"Подбадривающий призыв: «Ну, давай же!»","Мы так долго ждали этого момента, камон, пора начинать вечеринку!","Ты можешь это сделать, камон, просто соберись и действуй!","Все готовы к старту, камон, не теряй времени — вперед!
 Все готовы к старту, камон, не теряй времени — вперед!",(англ. come on! Идем!).,Ну давай же!,Быстрее!,Скорее!,
КАРШЕРИНГ,авто.,"Вид краткосрочной аренды автомобиля с поминутной или почасовой оплатой, обычно используемый для коротких внутригородских поездок.","КАРШЕРИНГ стал популярным способом передвижения по городу, позволяя людям арендовать автомобили на короткие сроки и оплачивать только за фактическое время использования.","Благодаря сервисам КАРШЕРИНГА, теперь можно легко взять машину на пару часов для быстрого дела или поездки по городу, не заботясь о долгосрочной аренде.","В условиях растущей урбанизации КАРШЕРИНГ предлагает удобное решение для тех, кто не хочет содержать собственный автомобиль, но нуждается в транспорте для краткосрочных поездок.",(англ. carsharing– car автомобиль + sharing совместное использование).,,,,
КАСТИНГ,част.,Распределение ролей; подбор актеров. Отбор подходящего персонала для работы в какой-либо организации.,"На кастинге для нового фильма режиссер тщательно выбирал актеров, чтобы найти идеальных исполнителей для главных ролей.","В этом театре кастинг проходит несколько раз в год, и каждый желающий может попробовать свои силы на сцене.","Кастинг в компанию привлек множество талантливых специалистов, что позволило сформировать сильную команду для реализации новых проектов.","(англ. casting – to cast бросать, выбрасывать).",,,,
КВАДРОБИКА,редк. спорт.,"Неофициальный вид спорта, который представляет собой аэробику – передвижение на четырех конечностях, имитирующее ходьбу, бег, прыжки и другие грациозные движения животных - часто в масках и визуально приближенном образе соответствующего существа.","На фестивале альтернативных видов спорта прошли соревнования по квадробике, где участники в масках животных демонстрировали свои навыки передвижения на четырех конечностях.","Квадробика становится все более популярной среди молодежи, привлекая внимание к необычным формам физической активности и креативным костюмам.","В клубе любителей квадробики регулярно проводятся тренировки, на которых участники учатся элегантно и грациозно передвигаться, имитируя движения своих любимых животных.",(англ. quadrobics – лат. quattuor четыре + aerobics аэробика).,,,,
КВАДРОКОПТЕР,авиа.,"Летательный аппарат с четырьмя несущими винтами, вращающимися диагонально в противоположных направлениях.",Квадрокоптер стал популярным инструментом для аэрофотосъемки благодаря своей маневренности и стабильности в полете.,"Во время соревнований по дрон-рейсингу участники управляли квадрокоптерами, проходя сложные трассы с препятствиями на высокой скорости.","Новейшие модели квадрокоптеров оснащены камерами высокого разрешения, что позволяет делать удивительные снимки с высоты.","(англ. quadrocopter, четырёхроторный вертолет).",,,,
КВЕСТ,мол. сленг.,"Игра, целью которой является розыск кого-/чего-либо.","В этом году мы решили организовать увлекательный квест по городу, где участники должны будут разгадывать загадки и искать спрятанные подсказки.","На день рождения моего друга мы подготовили квест, в ходе которого ему нужно было найти подарки, следуя указаниям и решая головоломки.","Команда из пяти человек приняла участие в квесте, который проходил в заброшенном здании, и им удалось разгадать все тайны за рекордное время.","(англ. quest – to quest искать, разыскивать).",,,,
КВИЗ,част.,"Развлекательно-познавательная телевизионная или радиопрограмма, целью которой является проверка знаний участников в той или иной области знаний.","На прошлой неделе я посмотрел увлекательный квиз, в котором участники соревновались в знании мировой истории.","В нашем университете организовали квиз по литературе, и студенты с удовольствием проверяли свои знания о классических произведениях.","Мы собрались с друзьями, чтобы провести вечер за настольным квизом, который проверил наши знания в области кино и музыки.",(амер. quiz викторина).,Викторина,,,
КЕМПИНГ,част. тур.,"Летний лагерь для автотуристов с палатками или легкими домиками; обычно предлагает услуги по техническому осмотру, обслуживанию и мойке автомобилей.","На выходных мы решили посетить кемпинг у озера, чтобы насладиться природой и отдохнуть от городской суеты.","В этом кемпинге есть все необходимые удобства: душевые, туалеты и даже площадки для барбекю, что делает его идеальным местом для автотуристов.","Мы остановились в кемпинге, где предоставляли услуги по техническому осмотру наших автомобилей, что было очень удобно во время долгого путешествия.",(англ. camping – to camp располагаться лагерем).,,,,
КИЛЛЕР,част.,"Наемный убийца; преступник, совершающий убийство по заказу.","В городе разгорелось расследование, когда полиция узнала о появлении киллера, который был ответственен за серию загадочных убийств.","Заказчик киллера не подозревал, что его план может обернуться против него самого, когда тот решил избавиться от свидетелей.","Фильм о киллере, который неожиданно начинает испытывать сомнения в правильности своей профессии, стал настоящим хитом среди зрителей.",(англ. killer – to kill убивать).,Наёмный убийца,,,
КЛИП,част.,"Короткий телевизионный сюжет, состоящий из эстрадной песни, сопровождаемый смонтированным видеорядом; используется также как средство рекламы.","В новом клипе популярной певицы сочетались яркие визуальные эффекты и запоминающаяся мелодия, что сделало его настоящим хитом на музыкальных платформах.","Рекламный клип, который мы увидели в перерыве, был настолько креативным, что сразу же привлек наше внимание к новому продукту.","На фестивале короткометражных фильмов также представили несколько оригинальных клипов, которые удивили зрителей своим художественным подходом и музыкальным сопровождением.","(англ. clip газетная вырезка, фрагмент фильма – to clip отсекать, отрезать).",,,,
КОВОРКИНГ,редк.,"Модель работы, заключающаяся в том, что вместо того, чтобы работать дома, люди снимают общее помещение, оставаясь независимыми и свободными, но не испытывая при этом недостатка в общении, работая вместе, делясь идеями и помогая друг другу. Основная суть модели - помесячная аренда и территориальное объединение и организация сообщества для более эффективной работы участников.","В новом коворкинге представили яркий коворкинг, который быстро завоевал популярность благодаря своей запоминающейся музыке и динамичному видеоряду.","Коворкинг, снятый для рекламной кампании, стал настоящим хитом, привлекая внимание зрителей к уникальным услугам заведения.","На выставке был представлен коворкинг, который наглядно демонстрировал атмосферу творчества и вдохновения, позволяя потенциальным клиентам почувствовать себя частью сообщества.",(англ. co-working совместно работающий).,,,,
КОМЬЮНИТИ,нескл. интерн.,Интернет-сообщество.,"В этом коммьюнити обсуждаются последние тренды в мире технологий и стартапов, что привлекает множество активных участников.","Участники коммьюнити делятся своими знаниями и опытом, создавая уникальную атмосферу сотрудничества и поддержки.","Благодаря активному взаимодействию в коммьюнити, многие пользователи находят единомышленников и реализуют свои проекты.",(англ. community сообщество).,Сообщество,,,
КОНТЕНТ,част. инф.,"Информация, содержимое файла или интернетовского сайта.",В современном цифровом мире качественный контент является ключевым фактором успеха любого веб-сайта.,Создание уникального и полезного контента помогает привлечь внимание аудитории и повысить уровень вовлеченности пользователей.,"Для успешного продвижения бренда важно не только генерировать контент, но и регулярно обновлять его, чтобы он оставался актуальным.",(англ. content содержимое).,Содержание,,,
КОУЧИНГ,част. соц.,"Наставничество, система внешнего содействия тому, чтобы работник осознавал, что, зачем и как он делает и на базе этого повышал производительность.","КОУЧИНГ помогает сотрудникам глубже понять свои цели и задачи, что способствует повышению их производительности на рабочем месте.","Внедрение КОУЧИНГА в компанию позволяет создать атмосферу поддержки, где каждый работник может осознанно развивать свои навыки и способности.","Эффективный КОУЧИНГ включает регулярные встречи с наставником, которые помогают сотруднику анализировать свои действия и находить пути для улучшения результатов.",(англ. coaching – to coach тренировать).,Наставничество,,,
КРАШ,мол. сленг.,"Человек, в которого влюбился, предмет страсти и любви.","Она всегда мечтала о романтических отношениях с своим КРАШем, который был не только красив, но и умён.",На вечеринке он наконец решился подойти к своему КРАШу и признаться в своих чувствах.,"Каждый раз, когда она видела своего КРАША, сердце её замирало от волнения и счастья.","(англ. crush смятение, раздавливание, сокрушительный удар; романтическая привязанность, пылкая любовь).",,,,
КРЕАТИВНЫЙ,част. соц.,"Творческий, способный к необыкновенным решениям и подходам; умеющий оригинально решить художественную или какую-н. другую задачу.",Его креативный подход к решению проблем всегда удивляет коллег и приносит неожиданные результаты.,На мастер-классе по живописи участники учились развивать свои креативные навыки и находить вдохновение в обыденных вещах.,Креативный дизайн нового логотипа компании стал настоящим хитом и привлек внимание многих клиентов.,"(англ. creative созидательный, творческий).",Творческий,,,
КРИНЖ,мол. сленг.,"Что-то откровенно плохое, вызывающее стыд за действия или контент другого человека.","Я не могу смотреть этот фильм — он такой кринж, что мне становится неловко за актеров.","Его попытка спеть на сцене была настоящим кринжем, и зрители не знали, как реагировать.","Она выложила в соцсети старые фото с вечеринки, и это было просто кринж, потому что все выглядели ужасно.","(англ. cringe – to cringe чувствовать себя неудобно, испытывать неловкость, прислуживать, подхалимничать).",,,,
КЭШБЭК,интерн. фин.,"Разновидность бонусной программы для привлечения клиентов и повышения их лояльности в сферах интернет-торговли и банковского дела, например, клиент оплачивает только розничную стоимость товара или услуги и т.п.","Благодаря программе кэшбэк, я смог вернуть часть своих расходов на покупки в интернет-магазинах в виде наличных денег.","Многие банки предлагают кэшбэк за использование их карт, что позволяет клиентам получать дополнительные наличные деньги при каждой покупке.","В этом магазине действует выгодная акция: за каждую покупку вы получаете кэшбэк, который можно использовать как наличные деньги для следующих приобретений.",(англ. cash back возврат наличных денег).,Возврат наличкой,,,
ЛАГАТЬ,комп. сленг.,В компьютерных играх – тормозить.,"Из-за слишком высокого уровня графики игра начала лагать, и мне пришлось снизить настройки, чтобы улучшить производительность.","Когда я подключил к компьютеру несколько дополнительных устройств, игра начала лагать, что сильно испортило впечатление от игрового процесса.","Иногда интернет-соединение бывает нестабильным, и из-за этого игра начинает лагать в самые ответственные моменты.","(англ. lag отставание, задержка).",Тормозить,Зависать,,
ЛАЙКАТЬ,мол. сленг.,"Заносить в список избранного, отдавать предпочтение (в программах интернет-общения, некоторых блогах, на музыкальных видео-сайтах и т.п.).","Я решил лайкать только те посты, которые действительно вызывают у меня интерес и вдохновение.","На музыкальном сервисе я лайкаю любимые треки, чтобы потом легко их найти в своем плейлисте.","В социальных сетях я стараюсь лайкать публикации друзей, чтобы поддержать их и показать, что ценю их творчество.",(англ. to like нравиться).,,,,
ЛАЙТОВЫЙ,мол. сленг.,Легкий.,"На летней прогулке я предпочитаю носить лайтовую одежду, чтобы чувствовать себя комфортно в жару.","Этот лайтовый рюкзак идеально подходит для коротких походов, так как он не нагружает спину.","Мы выбрали лайтовый вариант ужина, чтобы не перегружать себя перед вечерней тренировкой.",(англ. light легкий).,Легкий,,,
ЛАЙФХАК,част.,"Маленькая хитрость или полезный совет, помогающий решать бытовые проблемы, экономя тем самым время.",Я нашёл отличный лайфхак для быстрой уборки: просто используйте влажные салфетки для удаления пыли с труднодоступных мест.,Этот лайфхак с использованием резинок для открывания банок действительно сэкономил мне время на кухне.,"Если вы хотите сэкономить место в шкафу, попробуйте лайфхак с вертикальным хранением обуви — он работает прекрасно!",(англ. life hack).,,,,
